Linux 3.0.101-0.15-default (axle) 	11/21/2014 	_x86_64_

01:30:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:31:54 AM     all     19.38      0.00      3.28      0.00      0.00     77.34
01:32:54 AM     all     10.62      0.00      1.88      0.00      0.00     87.50
01:33:54 AM     all      5.74      0.00      1.35      0.00      0.00     92.90
01:34:54 AM     all      5.75      0.00      1.06      0.00      0.00     93.18
01:35:54 AM     all      5.77      0.00      1.02      0.00      0.00     93.21
01:36:54 AM     all     17.79      0.00      3.12      0.00      0.00     79.09
01:37:54 AM     all      7.42      0.00      0.35      0.00      0.00     92.23
01:38:54 AM     all      6.15      0.00      0.17      0.00      0.00     93.67
01:39:54 AM     all      5.75      0.00      0.36      0.00      0.00     93.89
01:40:54 AM     all      4.73      0.00      1.29      0.00      0.00     93.98
01:41:54 AM     all     11.46      0.00      2.02      0.00      0.00     86.51
01:42:54 AM     all     12.24      0.00      0.65      0.00      0.00     87.11
